opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,45,HOME,0.0306564416101769
South Carolina,1,7,6,24,AWAY,0.515064197415904
MTSU,1,8,6,42,HOME,0.463356158609598
Missouri,1,8,5,14,AWAY,0.675537863495906
Tennessee,1,5,7,26,HOME,0.420467437106443
Vanderbilt,1,6,7,28,HOME,0.510106337475818
Florida,1,10,3,19,NEUTRAL,0.698421348084735
Kentucky,1,10,3,17,AWAY,0.668087121738403
Auburn,1,8,5,17,HOME,0.640038361628211
Massachusetts,1,4,8,39,HOME,0.249594088209552
Georgia Tech,1,7,6,24,HOME,0.489741295172273
LSU,0,10,3,20,AWAY,0.734087414563615
Alabama,0,14,0,7,NEUTRAL,0.965850947155229
Texas,0,10,4,7,NEUTRAL,0.641224120603854
