opponent,result,win,loss,margin,location,opponent rating
Rice,1,2,11,18,AWAY,0.0904101814547683
Arizona,1,5,7,27,HOME,0.42540551169362
FCS,1,13,111,56,HOME,0.0306564416101769
Tulsa,1,3,9,15,HOME,0.232835157298534
East Carolina,1,3,9,22,AWAY,0.210990400896382
Navy,1,3,10,13,AWAY,0.313392423976731
South Florida,1,7,6,21,HOME,0.397671739182868
Tulane,1,7,6,31,HOME,0.416937557461684
Texas Tech,0,5,7,14,AWAY,0.436852071135065
SMU,0,5,7,14,AWAY,0.330524118822284
Temple,0,8,5,10,HOME,0.521212513857485
Memphis,0,8,6,21,AWAY,0.51891807359314
Army,0,11,2,56,NEUTRAL,0.644115124912286
