opponent,result,win,loss,margin,location,opponent rating
Florida Intl,1,9,4,10,AWAY,0.496536631816851
Virginia,1,8,5,4,HOME,0.565550881605665
Ball St,1,4,8,28,HOME,0.18889899000322
Rutgers,1,1,11,7,AWAY,0.126571751638945
Maryland,1,5,7,2,HOME,0.449926968698574
Michigan St,0,7,6,14,HOME,0.518649921958119
Ohio St,0,13,1,23,AWAY,0.789290680471332
Iowa,0,9,4,26,HOME,0.662712579053305
Penn St,0,9,4,5,HOME,0.663780301352752
Minnesota,0,7,6,7,AWAY,0.493358645239444
Michigan,0,10,3,11,AWAY,0.766132049342601
Purdue,0,6,7,7,HOME,0.504017849001278
