opponent,result,win,loss,margin,location,opponent rating
N Illinois,1,8,6,26,HOME,0.479224589283754
Iowa St,1,8,5,10,HOME,0.562559086846239
FCS,1,13,111,24,HOME,0.0306564416101769
Minnesota,1,7,6,17,AWAY,0.493358645239444
Indiana,1,5,7,26,AWAY,0.418819378134497
Maryland,1,5,7,23,HOME,0.449926968698574
Illinois,1,4,8,63,AWAY,0.248951659913718
Nebraska,1,4,8,3,HOME,0.414421266224517
Mississippi St,1,8,5,5,NEUTRAL,0.641956025115143
Wisconsin,0,8,5,11,HOME,0.565911168234504
Penn St,0,9,4,6,AWAY,0.663780301352752
Purdue,0,6,7,2,AWAY,0.504017849001278
Northwestern,0,9,5,4,HOME,0.592231271898692
