opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,3,HOME,0.0306564416101769
UT San Antonio,1,3,9,24,HOME,0.162663693907543
Oklahoma St,1,7,6,19,HOME,0.53411355815879
Kansas,1,3,9,4,HOME,0.219656161726466
Texas Tech,1,5,7,15,HOME,0.436852071135065
Mississippi St,0,8,5,21,HOME,0.641956025115143
West Virginia,0,8,4,29,AWAY,0.661623671054404
Texas,0,10,4,5,HOME,0.641224120603854
Baylor,0,7,6,3,AWAY,0.458716971875177
Oklahoma,0,12,2,37,AWAY,0.76607699294386
TCU,0,7,6,1,AWAY,0.489377938827075
Iowa St,0,8,5,4,AWAY,0.562559086846239
