opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,15,HOME,0.0946578673278474
Florida,1,10,3,11,AWAY,0.698421348084735
FCS,1,13,111,38,HOME,0.0306564416101769
Mississippi St,1,8,5,21,HOME,0.641956025115143
South Carolina,1,7,6,14,HOME,0.515064197415904
Vanderbilt,1,6,7,7,HOME,0.510106337475818
Missouri,1,8,5,1,AWAY,0.675537863495906
MTSU,1,8,6,11,HOME,0.463356158609598
Louisville,1,2,10,46,AWAY,0.232848113990365
Penn St,1,9,4,3,NEUTRAL,0.663780301352752
Texas A&M,0,9,4,6,AWAY,0.660603878526005
Georgia,0,11,3,17,HOME,0.81580733779053
Tennessee,0,5,7,17,AWAY,0.420467437106443
