opponent,result,win,loss,margin,location,opponent rating
South Alabama,1,3,9,4,AWAY,0.178610835697299
FCS,1,13,111,37,HOME,0.0306564416101769
North Texas,1,9,4,2,AWAY,0.540684469291705
UT San Antonio,1,3,9,28,AWAY,0.162663693907543
UTEP,1,1,11,7,HOME,0
FL Atlantic,1,5,7,8,AWAY,0.464421749662955
Rice,1,2,11,15,HOME,0.0904101814547683
Hawaii,1,8,6,17,AWAY,0.406802564804257
LSU,0,10,3,17,AWAY,0.734087414563615
UAB,0,11,3,21,HOME,0.55652998423235
Mississippi St,0,8,5,42,AWAY,0.641956025115143
Southern Miss,0,6,5,1,AWAY,0.353800445236661
WKU,0,3,9,15,HOME,0.223330304089303
