opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,77,HOME,0.0306564416101769
Toledo,1,7,6,25,AWAY,0.462712754752618
Florida Intl,1,9,4,14,HOME,0.496536631816851
North Carolina,1,2,9,37,HOME,0.256023513365747
Florida St,1,5,7,1,HOME,0.438904247918296
Virginia Tech,1,6,7,24,AWAY,0.433997331892275
Pittsburgh,1,7,7,21,HOME,0.525319578909627
LSU,0,10,3,16,NEUTRAL,0.734087414563615
Virginia,0,8,5,3,AWAY,0.565550881605665
Boston College,0,7,5,13,AWAY,0.586606242764235
Duke,0,8,5,8,HOME,0.57269601521862
Georgia Tech,0,7,6,6,AWAY,0.489741295172273
Wisconsin,0,8,5,32,NEUTRAL,0.565911168234504
