opponent,result,win,loss,margin,location,opponent rating
New Mexico St,1,3,9,38,HOME,0.107517533828836
Fresno St,1,12,2,7,HOME,0.720722476078819
Miami OH,1,6,6,23,HOME,0.457810523180704
Indiana,1,5,7,7,HOME,0.418819378134497
Purdue,1,6,7,31,HOME,0.504017849001278
Wisconsin,1,8,5,22,AWAY,0.565911168234504
Georgia Tech,1,7,6,24,NEUTRAL,0.489741295172273
Maryland,0,5,7,29,AWAY,0.449926968698574
Iowa,0,9,4,17,HOME,0.662712579053305
Ohio St,0,13,1,16,AWAY,0.789290680471332
Nebraska,0,4,8,25,AWAY,0.414421266224517
Illinois,0,4,8,24,AWAY,0.248951659913718
Northwestern,0,9,5,10,HOME,0.592231271898692
