opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,57,HOME,0.0306564416101769
Kansas St,1,5,7,21,AWAY,0.469803857920209
FCS,1,13,111,46,HOME,0.0306564416101769
Auburn,1,8,5,14,HOME,0.640038361628211
Texas A&M,1,9,4,15,HOME,0.660603878526005
Louisiana Tech,1,8,5,42,HOME,0.473466014770191
Arkansas,1,2,10,46,HOME,0.259372534930612
Mississippi,1,5,7,32,AWAY,0.437888309111217
Kentucky,0,10,3,21,AWAY,0.668087121738403
Florida,0,10,3,7,HOME,0.698421348084735
LSU,0,10,3,16,AWAY,0.734087414563615
Alabama,0,14,0,24,AWAY,0.965850947155229
Iowa,0,9,4,5,NEUTRAL,0.662712579053305
