opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,37,HOME,0.0306564416101769
Wyoming,1,6,6,27,HOME,0.421684424290278
Purdue,1,6,7,3,AWAY,0.504017849001278
Memphis,1,8,6,32,HOME,0.51891807359314
Florida,1,10,3,21,AWAY,0.698421348084735
Vanderbilt,1,6,7,5,HOME,0.510106337475818
Tennessee,1,5,7,33,AWAY,0.420467437106443
Arkansas,1,2,10,38,HOME,0.259372534930612
Georgia,0,11,3,14,HOME,0.81580733779053
South Carolina,0,7,6,2,AWAY,0.515064197415904
Alabama,0,14,0,29,AWAY,0.965850947155229
Kentucky,0,10,3,1,HOME,0.668087121738403
Oklahoma St,0,7,6,5,NEUTRAL,0.53411355815879
