opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,53,HOME,0.0306564416101769
Oregon St,1,2,10,2,HOME,0.172117937342421
Air Force,1,5,7,3,AWAY,0.426421908069171
Hawaii,1,8,6,18,AWAY,0.406802564804257
San Diego St,1,7,6,4,HOME,0.453586782400969
Colorado St,1,3,9,39,HOME,0.169566605648425
San Jose St,1,1,11,9,AWAY,0.171644613238941
Arkansas St,1,8,5,3,NEUTRAL,0.4953070144603
Vanderbilt,0,6,7,31,AWAY,0.510106337475818
Toledo,0,7,6,19,AWAY,0.462712754752618
Fresno St,0,12,2,18,HOME,0.720722476078819
Boise St,0,10,3,4,HOME,0.658574973165042
UNLV,0,4,8,5,AWAY,0.247603580267795
