opponent,result,win,loss,margin,location,opponent rating
Pittsburgh,1,7,7,3,HOME,0.525319578909627
FCS,1,13,111,23,HOME,0.0306564416101769
California,0,7,6,7,AWAY,0.411486028863381
East Carolina,0,3,9,22,AWAY,0.210990400896382
Miami FL,0,7,6,37,AWAY,0.507596886141062
Virginia Tech,0,6,7,3,HOME,0.433997331892275
Syracuse,0,10,3,3,AWAY,0.684258795136365
Virginia,0,8,5,10,AWAY,0.565550881605665
Georgia Tech,0,7,6,10,HOME,0.489741295172273
Duke,0,8,5,7,AWAY,0.57269601521862
NC State,0,9,4,6,HOME,0.622147531438138
