opponent,result,win,loss,margin,location,opponent rating
Purdue,1,6,7,4,AWAY,0.504017849001278
Michigan St,1,7,6,10,AWAY,0.518649921958119
Nebraska,1,4,8,3,HOME,0.414421266224517
Rutgers,1,1,11,3,AWAY,0.126571751638945
Wisconsin,1,8,5,14,HOME,0.565911168234504
Iowa,1,9,4,4,AWAY,0.662712579053305
Minnesota,1,7,6,10,AWAY,0.493358645239444
Illinois,1,4,8,8,HOME,0.248951659913718
Utah,1,9,5,11,NEUTRAL,0.612408462118722
Duke,0,8,5,14,HOME,0.57269601521862
Akron,0,4,8,5,HOME,0.221373402722626
Michigan,0,10,3,3,HOME,0.766132049342601
Notre Dame,0,12,1,10,HOME,0.850675894090201
Ohio St,0,13,1,21,NEUTRAL,0.789290680471332
