opponent,result,win,loss,margin,location,opponent rating
Oregon St,1,2,10,46,HOME,0.172117937342421
Rutgers,1,1,11,49,HOME,0.126571751638945
TCU,1,7,6,12,AWAY,0.489377938827075
Tulane,1,7,6,43,HOME,0.416937557461684
Penn St,1,9,4,1,AWAY,0.663780301352752
Indiana,1,5,7,23,HOME,0.418819378134497
Minnesota,1,7,6,16,HOME,0.493358645239444
Nebraska,1,4,8,5,HOME,0.414421266224517
Michigan St,1,7,6,20,AWAY,0.518649921958119
Maryland,1,5,7,1,AWAY,0.449926968698574
Michigan,1,10,3,23,HOME,0.766132049342601
Northwestern,1,9,5,21,NEUTRAL,0.592231271898692
Washington,1,10,4,5,NEUTRAL,0.664997673550361
Purdue,0,6,7,29,AWAY,0.504017849001278
