opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,23,HOME,0.0306564416101769
Colorado,1,5,7,7,AWAY,0.345692884887595
Ohio St,0,13,1,46,AWAY,0.789290680471332
Nevada,0,8,5,2,AWAY,0.462751994971441
Arizona,0,5,7,21,HOME,0.42540551169362
Arizona St,0,7,6,28,AWAY,0.52301935263644
Washington St,0,11,2,19,HOME,0.684077336369353
California,0,7,6,42,HOME,0.411486028863381
USC,0,5,7,17,HOME,0.437921328327754
Stanford,0,9,4,31,AWAY,0.618221465818718
Washington,0,10,4,19,AWAY,0.664997673550361
Oregon,0,9,4,40,HOME,0.52331523621102
