opponent,result,win,loss,margin,location,opponent rating
Bowling Green,1,3,9,34,HOME,0.13010697143828
FCS,1,13,111,48,HOME,0.0306564416101769
San Jose St,1,1,11,13,HOME,0.171644613238941
California,1,7,6,18,AWAY,0.411486028863381
Washington,1,10,4,3,HOME,0.664997673550361
UCLA,1,3,9,21,HOME,0.27536664391398
Arizona St,1,7,6,2,HOME,0.52301935263644
Oregon St,1,2,10,40,AWAY,0.172117937342421
Michigan St,1,7,6,1,NEUTRAL,0.518649921958119
Stanford,0,9,4,7,HOME,0.618221465818718
Washington St,0,11,2,14,AWAY,0.684077336369353
Arizona,0,5,7,29,AWAY,0.42540551169362
Utah,0,9,5,7,AWAY,0.612408462118722
