opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,3,HOME,0.0306564416101769
Old Dominion,1,4,8,14,HOME,0.253286897950551
Houston,0,8,5,18,HOME,0.478100141265283
Hawaii,0,8,6,14,AWAY,0.406802564804257
Southern Miss,0,6,5,18,AWAY,0.353800445236661
Wake Forest,0,7,6,32,AWAY,0.504059457481341
UT San Antonio,0,3,9,17,HOME,0.162663693907543
UAB,0,11,3,42,HOME,0.55652998423235
Florida Intl,0,9,4,19,AWAY,0.496536631816851
North Texas,0,9,4,24,AWAY,0.540684469291705
UTEP,0,1,11,8,HOME,0
Louisiana Tech,0,8,5,15,AWAY,0.473466014770191
LSU,0,10,3,32,AWAY,0.734087414563615
