opponent,result,win,loss,margin,location,opponent rating
UNLV,1,4,8,13,HOME,0.247603580267795
FCS,0,13,111,6,HOME,0.0306564416101769
Washington St,0,11,2,31,AWAY,0.684077336369353
Oregon,0,9,4,13,AWAY,0.52331523621102
Hawaii,0,8,6,3,HOME,0.406802564804257
Colorado St,0,3,9,12,HOME,0.169566605648425
Army,0,11,2,49,HOME,0.644115124912286
San Diego St,0,7,6,3,AWAY,0.453586782400969
Wyoming,0,6,6,15,AWAY,0.421684424290278
Utah St,0,11,2,38,AWAY,0.708214229904193
Nevada,0,8,5,9,HOME,0.462751994971441
Fresno St,0,12,2,18,AWAY,0.720722476078819
