opponent,result,win,loss,margin,location,opponent rating
Texas St,1,3,9,10,HOME,0.16271608966901
FCS,1,13,111,38,HOME,0.0306564416101769
Coastal Car,1,5,7,3,HOME,0.290258532549608
Louisiana Tech,0,8,5,4,HOME,0.473466014770191
Oklahoma St,0,7,6,42,AWAY,0.53411355815879
Memphis,0,8,6,17,AWAY,0.51891807359314
Appalachian St,0,11,2,45,AWAY,0.660691009259259
Ga Southern,0,10,3,35,AWAY,0.584196529570427
Troy,0,10,3,21,HOME,0.565789400128028
Arkansas St,0,8,5,24,AWAY,0.4953070144603
ULM,0,6,6,28,HOME,0.339601840602436
FCS,0,13,111,10,AWAY,0.0306564416101769
