opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,20,HOME,0.0306564416101769
Georgia Tech,1,7,6,11,HOME,0.489741295172273
Illinois,1,4,8,6,AWAY,0.248951659913718
East Carolina,1,3,9,7,HOME,0.210990400896382
Massachusetts,1,4,8,16,AWAY,0.249594088209552
Tulsa,1,3,9,1,AWAY,0.232835157298534
Connecticut,1,1,11,8,HOME,0.0415021192452638
Houston,0,8,5,21,AWAY,0.478100141265283
Tulane,0,7,6,26,HOME,0.416937557461684
Cincinnati,0,11,2,12,AWAY,0.656840122445719
Temple,0,8,5,10,AWAY,0.521212513857485
UCF,0,12,1,28,HOME,0.778692437659974
Marshall,0,9,4,18,HOME,0.556688728694209
