opponent,result,win,loss,margin,location,opponent rating
Maryland,1,5,7,21,AWAY,0.449926968698574
Tulsa,1,3,9,14,HOME,0.232835157298534
East Carolina,1,3,9,43,HOME,0.210990400896382
Navy,1,3,10,7,AWAY,0.313392423976731
Cincinnati,1,11,2,7,HOME,0.656840122445719
Houston,1,8,5,10,AWAY,0.478100141265283
South Florida,1,7,6,10,HOME,0.397671739182868
Connecticut,1,1,11,50,AWAY,0.0415021192452638
FCS,0,13,111,2,HOME,0.0306564416101769
Buffalo,0,10,4,7,HOME,0.522697195676686
Boston College,0,7,5,10,AWAY,0.586606242764235
UCF,0,12,1,12,AWAY,0.778692437659974
Duke,0,8,5,29,NEUTRAL,0.57269601521862
