opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,11,HOME,0.0306564416101769
Connecticut,1,1,11,30,HOME,0.0415021192452638
SMU,1,5,7,3,HOME,0.330524118822284
Texas,0,10,4,7,AWAY,0.641224120603854
Arkansas St,0,8,5,9,HOME,0.4953070144603
Temple,0,8,5,14,AWAY,0.521212513857485
Houston,0,8,5,15,AWAY,0.478100141265283
South Florida,0,7,6,1,HOME,0.397671739182868
Arkansas,0,2,10,23,AWAY,0.259372534930612
Tulane,0,7,6,7,HOME,0.416937557461684
Memphis,0,8,6,26,AWAY,0.51891807359314
Navy,0,3,10,8,AWAY,0.313392423976731
