opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,52,HOME,0.0306564416101769
Tulane,1,7,6,7,HOME,0.416937557461684
Charlotte,1,5,7,21,HOME,0.33036795669595
Louisiana Tech,1,8,5,21,AWAY,0.473466014770191
Rice,1,2,11,42,AWAY,0.0904101814547683
North Texas,1,9,4,8,HOME,0.540684469291705
UTEP,1,1,11,19,AWAY,0
UT San Antonio,1,3,9,49,HOME,0.162663693907543
Southern Miss,1,6,5,3,HOME,0.353800445236661
MTSU,1,8,6,2,AWAY,0.463356158609598
N Illinois,1,8,6,24,NEUTRAL,0.479224589283754
Coastal Car,0,5,7,23,AWAY,0.290258532549608
Texas A&M,0,9,4,21,AWAY,0.660603878526005
MTSU,0,8,6,24,AWAY,0.463356158609598
