opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,3,HOME,0.0306564416101769
Southern Miss,1,6,5,1,AWAY,0.353800445236661
Coastal Car,1,5,7,25,AWAY,0.290258532549608
Texas St,1,3,9,6,HOME,0.16271608966901
Ga Southern,1,10,3,19,HOME,0.584196529570427
South Alabama,1,3,9,28,AWAY,0.178610835697299
Texas A&M,0,9,4,38,AWAY,0.660603878526005
Troy,0,10,3,8,HOME,0.565789400128028
Georgia St,0,2,10,32,AWAY,0.149271489777065
Mississippi,0,5,7,49,AWAY,0.437888309111217
Arkansas St,0,8,5,14,AWAY,0.4953070144603
FCS,0,13,111,3,HOME,0.0306564416101769
