opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,31,HOME,0.0306564416101769
N Illinois,1,8,6,11,AWAY,0.479224589283754
Stanford,1,9,4,19,AWAY,0.618221465818718
Arizona,1,5,7,32,HOME,0.42540551169362
USC,1,5,7,13,HOME,0.437921328327754
UCLA,1,3,9,31,AWAY,0.27536664391398
Oregon,1,9,4,7,HOME,0.52331523621102
Colorado,1,5,7,23,AWAY,0.345692884887595
BYU,1,7,6,8,HOME,0.504342151004454
Washington,0,10,4,14,HOME,0.664997673550361
Washington St,0,11,2,4,AWAY,0.684077336369353
Arizona St,0,7,6,18,AWAY,0.52301935263644
Washington,0,10,4,7,NEUTRAL,0.664997673550361
Northwestern,0,9,5,11,NEUTRAL,0.592231271898692
