opponent,result,win,loss,margin,location,opponent rating
Florida St,1,5,7,21,AWAY,0.438904247918296
FCS,1,13,111,45,HOME,0.0306564416101769
Duke,1,8,5,17,AWAY,0.57269601521862
North Carolina,1,2,9,3,AWAY,0.256023513365747
Virginia,1,8,5,3,HOME,0.565550881605665
Marshall,1,9,4,21,HOME,0.556688728694209
Old Dominion,0,4,8,14,AWAY,0.253286897950551
Notre Dame,0,12,1,22,HOME,0.850675894090201
Georgia Tech,0,7,6,21,HOME,0.489741295172273
Boston College,0,7,5,10,HOME,0.586606242764235
Pittsburgh,0,7,7,30,AWAY,0.525319578909627
Miami FL,0,7,6,24,HOME,0.507596886141062
Cincinnati,0,11,2,4,NEUTRAL,0.656840122445719
