opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,68,HOME,0.0306564416101769
Georgia St,1,2,10,19,AWAY,0.149271489777065
Miami OH,1,6,6,1,AWAY,0.457810523180704
E Michigan,1,7,6,3,HOME,0.438690979737939
Bowling Green,1,3,9,7,AWAY,0.13010697143828
C Michigan,1,1,11,25,AWAY,0.0946578673278474
N Illinois,1,8,6,7,HOME,0.479224589283754
Syracuse,0,10,3,13,HOME,0.684258795136365
Michigan,0,10,3,46,AWAY,0.766132049342601
Toledo,0,7,6,27,HOME,0.462712754752618
Ohio,0,9,4,45,HOME,0.626176786534068
Ball St,0,4,8,1,AWAY,0.18889899000322
BYU,0,7,6,31,NEUTRAL,0.504342151004454
