opponent,result,win,loss,margin,location,opponent rating
Tulane,1,7,6,6,AWAY,0.416937557461684
FCS,1,13,111,31,HOME,0.0306564416101769
Rice,1,2,11,32,HOME,0.0904101814547683
Louisville,1,2,10,21,AWAY,0.232848113990365
NC State,1,9,4,4,AWAY,0.622147531438138
Duke,1,8,5,52,AWAY,0.57269601521862
Memphis,1,8,6,3,NEUTRAL,0.51891807359314
Boston College,0,7,5,7,HOME,0.586606242764235
Notre Dame,0,12,1,29,HOME,0.850675894090201
Clemson,0,14,0,60,HOME,1
Florida St,0,5,7,21,AWAY,0.438904247918296
Syracuse,0,10,3,17,HOME,0.684258795136365
Pittsburgh,0,7,7,21,HOME,0.525319578909627
