opponent,result,win,loss,margin,location,opponent rating
Colorado St,1,1,4,16,NEUTRAL,0.204594974847688
Kansas,1,2,3,3,NEUTRAL,0.41142602409711
WKU,1,1,4,3,NEUTRAL,0.343258863445667
East Carolina,1,2,2,5,NEUTRAL,0.434166571249105
Temple,1,2,3,2,NEUTRAL,0.47829645709842
San Jose St,1,0,4,6,NEUTRAL,0.225190983998184
UTEP,1,0,5,20,NEUTRAL,0
Air Force,0,1,3,38,NEUTRAL,0.37301960224998
New Mexico,0,2,2,32,NEUTRAL,0.397434484861578
Utah St,0,3,1,61,NEUTRAL,0.561069401992058
Wyoming,0,2,3,3,NEUTRAL,0.350410036433006
Akron,0,2,1,34,NEUTRAL,0.469036873047517
Bowling Green,0,1,4,7,NEUTRAL,0.126897984260072
Buffalo,0,4,1,38,NEUTRAL,0.59115491488974
Kent,0,1,4,40,NEUTRAL,0.258335931205306
Ohio,0,2,2,6,NEUTRAL,0.456164556805879
Arkansas,0,1,4,35,NEUTRAL,0.309044784340837
Auburn,0,4,1,54,NEUTRAL,0.663533010105492
LSU,0,5,0,31,NEUTRAL,0.82611958921157
Mississippi,0,3,2,35,NEUTRAL,0.618561082133355
Mississippi St,0,3,2,57,NEUTRAL,0.588091290274893
Texas A&M,0,3,2,52,NEUTRAL,0.582174095226032
Appalachian St,0,3,1,65,NEUTRAL,0.659760584249949
Arkansas St,0,3,2,27,NEUTRAL,0.549687796286909
Coastal Car,0,3,2,37,NEUTRAL,0.500821465100984
Ga Southern,0,3,1,31,NEUTRAL,0.579704494057632
Georgia St,0,2,3,4,NEUTRAL,0.358041227220592
Texas St,0,1,3,16,NEUTRAL,0.213404423603109
Troy,0,4,1,52,NEUTRAL,0.593810735789515
ULL,0,1,3,32,NEUTRAL,0.360907273265168
ULM,0,2,3,3,NEUTRAL,0.291223664103769
Arizona,0,2,3,31,NEUTRAL,0.418963001362183
Colorado,0,4,0,31,NEUTRAL,0.636721105123326
Utah,0,2,2,31,NEUTRAL,0.486278186423234
BYU,0,3,2,27,NEUTRAL,0.503830748503347
Massachusetts,0,2,4,48,NEUTRAL,0.304905876486981
Ball St,0,2,3,36,NEUTRAL,0.408087855902168
C Michigan,0,1,4,12,NEUTRAL,0.287780550423305
E Michigan,0,2,3,34,NEUTRAL,0.435242592403939
Toledo,0,2,2,63,NEUTRAL,0.4655346219415
W Michigan,0,3,2,68,NEUTRAL,0.499875213708356
Baylor,0,3,2,28,NEUTRAL,0.549242882169793
Kansas St,0,2,3,3,NEUTRAL,0.41842830885205
Oklahoma St,0,4,1,41,NEUTRAL,0.677913939089979
TCU,0,3,2,48,NEUTRAL,0.545098556417968
Texas Tech,0,3,2,77,NEUTRAL,0.631442472087662
West Virginia,0,4,0,35,NEUTRAL,0.793993064291003
Boston College,0,4,1,48,NEUTRAL,0.605065032767067
Clemson,0,5,0,41,NEUTRAL,0.78499925661827
Florida St,0,3,2,10,NEUTRAL,0.474395327026764
Louisville,0,2,3,24,NEUTRAL,0.432264408456994
NC State,0,4,0,11,NEUTRAL,0.777815133769975
Syracuse,0,4,1,52,NEUTRAL,0.680146238470077
Wake Forest,0,3,2,31,NEUTRAL,0.510299646069837
California,0,3,1,22,NEUTRAL,0.516304410695767
Oregon,0,4,1,48,NEUTRAL,0.608156579714766
Oregon St,0,1,4,23,NEUTRAL,0.316152093854283
Stanford,0,4,1,20,NEUTRAL,0.702519469503941
Washington,0,4,1,42,NEUTRAL,0.680548820193481
Washington St,0,4,1,35,NEUTRAL,0.609244749649073
Charlotte,0,2,3,24,NEUTRAL,0.316993804662199
FL Atlantic,0,2,3,21,NEUTRAL,0.494596039211592
Florida Intl,0,3,2,46,NEUTRAL,0.544326173967958
Marshall,0,3,1,16,NEUTRAL,0.545334866092518
MTSU,0,2,2,24,NEUTRAL,0.326008783990692
Cincinnati,0,5,0,56,NEUTRAL,0.686262737264935
