rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,Chicago,0.75,1,15.6666666666667,1,NFC North,0.378337914856878
2,LA Rams,1,0.927631981130382,16,0,NFC West,0.231034807303159
3,Kansas City,1,0.910252840293115,7.5,0,AFC West,0.333101406962913
4,Cincinnati,0.75,0.829547694209239,7.66666666666667,10,AFC North,0.248602815925452
5,Baltimore,0.75,0.688072320543892,23,11,AFC North,0.260456254857414
6,Tampa Bay,0.5,0.631218766248929,7,20.5,NFC South,0.175052782118215
7,Tennessee,0.75,0.622414242696047,3,7,AFC South,0.118274175757525
8,New Orleans,0.75,0.609831631585833,8,8,NFC South,0.0553275082165944
9,Carolina,0.666666666666667,0.589387377833348,9,7,NFC South,0.103466638187472
10,Jacksonville,0.75,0.583874520313696,11.6666666666667,3,AFC South,0.127252088289715
11,Pittsburgh,0.5,0.562843256558799,1.5,8.5,AFC North,0.045233335825755
12,Philadelphia,0.5,0.480787598247115,5,4.5,NFC East,-0.0240784803279129
13,Seattle,0.5,0.470731937535423,7,5,NFC West,-0.0367659980495868
14,Washington,0.666666666666667,0.457360729191354,16,12,NFC East,-0.244390020614611
15,Miami,0.75,0.435527919020059,7.66666666666667,31,AFC East,-0.0189856759984959
16,Oakland,0.25,0.417745064198353,3,9.66666666666667,AFC West,-0.0214222388432471
17,New England,0.5,0.397262152899918,19,13.5,AFC East,-0.181012005935436
18,Denver,0.5,0.371631382296029,2,8.5,AFC West,-0.120549356089031
19,Atlanta,0.25,0.355671680625591,7,4.33333333333333,NFC South,-0.0849877632181817
20,LA Chargers,0.5,0.326017603540391,6.5,11,AFC West,-0.0159493683256245
21,San Francisco,0.25,0.297202411097089,3,7,NFC West,-0.170009345801361
22,Dallas,0.5,0.262593042596725,4.5,9.5,NFC East,-0.187565919974634
23,Indianapolis,0.25,0.251743693784542,12,6,AFC South,-0.152861321134921
24,Cleveland,0.25,0.213953705447583,4,2,AFC North,-0.216951349655086
25,Houston,0.25,0.182344229741574,3,5,AFC South,-0.270587148134178
26,NY Giants,0.25,0.167080963653626,5,9,NFC East,-0.303516144184061
27,NY Jets,0.25,0.157601502610774,31,10.3333333333333,AFC East,-0.433678362195699
28,Minnesota,0.4,0.157174024630911,4,11.6666666666667,NFC North,-0.216060774411651
29,Buffalo,0.25,0.104044215816892,21,25.6666666666667,AFC East,-0.600921898073068
30,Green Bay,0.5,0.0808961561367775,11.5,7,NFC North,-0.259029177514988
31,Detroit,0.25,0.00398529768113286,16,12,NFC North,-0.390020142203603
32,Arizona,0,0,0,14.25,NFC West,-0.308897564929623
