opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,27,HOME,0.000769998244192226
Tulsa,1,2018-9-15,3,9,9,AWAY,0.248278564102298
UNLV,1,2018-9-22,4,8,7,HOME,0.242047874131288
Georgia St,1,2018-10-18,2,10,16,HOME,0.192094577935086
South Alabama,1,2018-11-3,3,9,24,HOME,0.198141556916694
Coastal Car,1,2018-11-10,5,7,28,AWAY,0.311564379778839
ULM,1,2018-11-17,6,6,14,HOME,0.344645210077282
Texas St,1,2018-11-24,3,9,26,AWAY,0.205154738347006
Alabama,0,2018-9-8,13,0,50,AWAY,1
Ga Southern,0,2018-9-29,9,3,7,AWAY,0.580629140209413
Appalachian St,0,2018-10-9,10,2,26,HOME,0.659401122251941
ULL,0,2018-10-27,6,5,4,AWAY,0.470730482744223
