opponent,result,date,win,loss,margin,location,opponent rating
Massachusetts,1,2018-9-1,4,8,34,HOME,0.249056873231254
FCS,1,2018-9-8,8,106,48,HOME,0.000769998244192226
Wake Forest,1,2018-9-13,6,6,7,AWAY,0.473718361993184
Temple,1,2018-9-29,8,4,10,HOME,0.574495390132135
Louisville,1,2018-10-13,2,10,18,HOME,0.229406836627335
Miami FL,1,2018-10-26,7,5,13,HOME,0.540586158977233
Virginia Tech,1,2018-11-3,6,6,10,AWAY,0.439317027736125
Purdue,0,2018-9-22,6,6,17,AWAY,0.5428304930475
NC State,0,2018-10-6,9,3,5,AWAY,0.658476757405083
Clemson,0,2018-11-10,13,0,20,HOME,0.961719907014965
Florida St,0,2018-11-17,5,7,1,AWAY,0.433535169304531
Syracuse,0,2018-11-24,9,3,21,HOME,0.659872406070867
