opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,38,HOME,0.000769998244192226
Temple,1,2018-9-8,8,4,7,AWAY,0.574495390132135
E Michigan,1,2018-9-15,7,5,7,HOME,0.451471882561525
Rutgers,1,2018-9-22,1,11,29,AWAY,0.142195290938339
C Michigan,1,2018-10-6,1,11,10,AWAY,0.107247264944998
Akron,1,2018-10-13,4,8,18,HOME,0.227510841608756
Toledo,1,2018-10-20,7,5,14,AWAY,0.486054902807487
Miami OH,1,2018-10-30,6,6,9,HOME,0.45837188133336
Kent,1,2018-11-6,2,10,34,HOME,0.134175713618153
Bowling Green,1,2018-11-23,3,9,30,AWAY,0.140385424802793
Army,0,2018-9-29,9,2,29,HOME,0.592703055035996
Ohio,0,2018-11-14,8,4,35,AWAY,0.603861584109007
N Illinois,0,2018-11-30,8,5,1,NEUTRAL,0.512425574248057
