opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-22,8,106,12,HOME,0.000769998244192226
Kentucky,0,2018-9-1,9,3,15,AWAY,0.662329133530505
Kansas,0,2018-9-8,3,9,24,HOME,0.221018492957153
N Illinois,0,2018-9-15,8,5,8,AWAY,0.512425574248057
Michigan St,0,2018-9-29,7,5,11,AWAY,0.544591531393688
Buffalo,0,2018-10-6,10,3,10,HOME,0.548891754404769
Ball St,0,2018-10-13,4,8,1,HOME,0.194642348013845
W Michigan,0,2018-10-20,7,5,25,HOME,0.460361066971564
Akron,0,2018-10-27,4,8,7,AWAY,0.227510841608756
E Michigan,0,2018-11-3,7,5,10,AWAY,0.451471882561525
Bowling Green,0,2018-11-10,3,9,11,HOME,0.140385424802793
Toledo,0,2018-11-23,7,5,38,AWAY,0.486054902807487
