opponent,result,date,win,loss,margin,location,opponent rating
UAB,1,2018-9-8,10,3,23,HOME,0.521923000912338
FCS,1,2018-9-12,8,106,37,AWAY,0.000769998244192226
ULL,1,2018-9-22,6,5,2,AWAY,0.470730482744223
Massachusetts,1,2018-10-20,4,8,11,AWAY,0.249056873231254
Georgia St,1,2018-10-27,2,10,3,AWAY,0.192094577935086
South Carolina,0,2018-9-1,7,5,34,AWAY,0.552574974401991
Troy,0,2018-9-29,9,3,24,AWAY,0.559089094366952
ULM,0,2018-10-13,6,6,25,HOME,0.344645210077282
Appalachian St,0,2018-11-3,10,2,16,HOME,0.659401122251941
Arkansas St,0,2018-11-10,8,4,28,HOME,0.542798882966119
Ga Southern,0,2018-11-17,9,3,24,HOME,0.580629140209413
South Alabama,0,2018-11-23,3,9,3,AWAY,0.198141556916694
