opponent,result,date,win,loss,margin,location,opponent rating
Air Force,1,2018-9-8,5,7,6,HOME,0.419626714314724
FCS,1,2018-9-15,8,106,21,HOME,0.000769998244192226
Old Dominion,1,2018-10-6,4,8,19,HOME,0.249476996007373
Florida Intl,1,2018-11-3,8,4,35,AWAY,0.475982875318223
WKU,1,2018-11-10,3,9,19,HOME,0.216702075652369
Oklahoma,0,2018-9-1,12,1,49,AWAY,0.780914806571746
UCF,0,2018-9-21,12,0,20,AWAY,0.824142322793354
MTSU,0,2018-9-29,8,5,1,AWAY,0.484435690225168
Marshall,0,2018-10-20,8,4,24,AWAY,0.531754889860287
Louisiana Tech,0,2018-10-26,7,5,8,HOME,0.441140405717563
North Texas,0,2018-11-15,9,3,3,AWAY,0.566226921948455
Charlotte,0,2018-11-24,5,7,3,HOME,0.323727691666351
