opponent,result,date,win,loss,margin,location,opponent rating
Old Dominion,1,2018-9-8,4,8,8,AWAY,0.249476996007373
Massachusetts,1,2018-9-15,4,8,39,HOME,0.249056873231254
FCS,1,2018-9-29,8,106,46,HOME,0.000769998244192226
MTSU,1,2018-10-13,8,5,3,HOME,0.484435690225168
Rice,1,2018-10-20,2,11,19,HOME,0.087561129839736
WKU,1,2018-10-27,3,9,21,AWAY,0.216702075652369
UT San Antonio,1,2018-11-10,3,9,38,AWAY,0.157072136220403
Charlotte,1,2018-11-17,5,7,7,AWAY,0.323727691666351
Indiana,0,2018-9-1,5,7,10,HOME,0.423952308627547
Miami FL,0,2018-9-22,7,5,14,AWAY,0.540586158977233
FL Atlantic,0,2018-11-3,5,7,35,HOME,0.461693554039236
Marshall,0,2018-11-24,8,4,3,HOME,0.531754889860287
