opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,66,HOME,0.000769998244192226
UCLA,1,2018-9-15,3,9,24,AWAY,0.280733958670922
Toledo,1,2018-9-29,7,5,22,HOME,0.486054902807487
Nevada,1,2018-10-6,7,5,18,AWAY,0.440983667473
Wyoming,1,2018-10-13,6,6,24,HOME,0.419358145826074
New Mexico,1,2018-10-20,3,9,31,AWAY,0.236699965704469
Hawaii,1,2018-10-27,8,5,30,HOME,0.423791787116062
UNLV,1,2018-11-3,4,8,45,AWAY,0.242047874131288
San Diego St,1,2018-11-17,7,5,9,HOME,0.479206894566261
San Jose St,1,2018-11-24,1,11,18,HOME,0.159323559459047
Boise St,1,2018-12-1,10,3,3,AWAY,0.650992768654197
Minnesota,0,2018-9-8,6,6,7,AWAY,0.458137990603829
Boise St,0,2018-11-9,10,3,7,AWAY,0.650992768654197
