opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,31,HOME,0.000769998244192226
Massachusetts,1,2018-9-8,4,8,21,HOME,0.249056873231254
Arkansas St,1,2018-9-29,8,4,7,HOME,0.542798882966119
South Alabama,1,2018-10-6,3,9,35,HOME,0.198141556916694
Texas St,1,2018-10-11,3,9,2,AWAY,0.205154738347006
New Mexico St,1,2018-10-20,3,9,17,AWAY,0.135628013475393
Appalachian St,1,2018-10-25,10,2,20,HOME,0.659401122251941
Coastal Car,1,2018-11-17,5,7,24,AWAY,0.311564379778839
Georgia St,1,2018-11-24,2,10,21,AWAY,0.192094577935086
Clemson,0,2018-9-15,13,0,31,AWAY,0.961719907014965
ULM,0,2018-11-3,6,6,19,AWAY,0.344645210077282
Troy,0,2018-11-10,9,3,14,HOME,0.559089094366952
