opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,41,HOME,0.000769998244192226
Bowling Green,1,2018-9-29,3,9,46,HOME,0.140385424802793
Louisville,1,2018-10-5,2,10,35,AWAY,0.229406836627335
Virginia Tech,1,2018-10-25,6,6,21,AWAY,0.439317027736125
North Carolina,1,2018-11-3,2,9,10,AWAY,0.260469377823359
Miami FL,1,2018-11-10,7,5,6,HOME,0.540586158977233
Virginia,1,2018-11-17,7,5,3,HOME,0.523953179912563
South Florida,0,2018-9-8,7,5,11,AWAY,0.43506939815558
Pittsburgh,0,2018-9-15,7,6,5,AWAY,0.539907904792352
Clemson,0,2018-9-22,13,0,28,HOME,0.961719907014965
Duke,0,2018-10-13,7,5,14,HOME,0.5192774409515
Georgia,0,2018-11-24,11,2,24,AWAY,0.853521788113883
