opponent,result,date,win,loss,margin,location,opponent rating
C Michigan,1,2018-9-8,1,11,24,AWAY,0.107247264944998
Rutgers,1,2018-9-15,1,11,41,HOME,0.142195290938339
TCU,1,2018-10-27,6,6,1,HOME,0.472750818076519
FCS,0,2018-9-1,8,106,3,HOME,0.000769998244192226
Baylor,0,2018-9-22,6,6,19,AWAY,0.43300358027017
Oklahoma St,0,2018-9-29,6,6,20,HOME,0.509986694345833
West Virginia,0,2018-10-6,8,3,16,AWAY,0.68824171421713
Texas Tech,0,2018-10-20,5,7,32,AWAY,0.433867128284314
Iowa St,0,2018-11-3,8,4,24,HOME,0.576450167683861
Kansas St,0,2018-11-10,5,7,4,AWAY,0.472544202064512
Oklahoma,0,2018-11-17,12,1,15,AWAY,0.780914806571746
Texas,0,2018-11-23,9,4,7,HOME,0.624442893770101
