opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,40,HOME,0.000769998244192226
Bowling Green,1,2018-10-30,3,9,7,AWAY,0.140385424802793
Illinois,0,2018-9-1,4,8,7,AWAY,0.251073638319793
Penn St,0,2018-9-15,9,3,53,AWAY,0.697394135264368
Mississippi,0,2018-9-22,5,7,21,AWAY,0.441826253707439
Ball St,0,2018-9-29,4,8,28,AWAY,0.194642348013845
Ohio,0,2018-10-6,8,4,1,HOME,0.603861584109007
Miami OH,0,2018-10-13,6,6,25,AWAY,0.45837188133336
Akron,0,2018-10-20,4,8,1,HOME,0.227510841608756
Buffalo,0,2018-11-6,10,3,34,AWAY,0.548891754404769
Toledo,0,2018-11-15,7,5,22,HOME,0.486054902807487
E Michigan,0,2018-11-23,7,5,8,HOME,0.451471882561525
