opponent,result,date,win,loss,margin,location,opponent rating
C Michigan,1,2018-9-1,1,11,15,HOME,0.107247264944998
Florida,1,2018-9-8,9,3,11,AWAY,0.651217922368491
FCS,1,2018-9-15,8,106,38,HOME,0.000769998244192226
Mississippi St,1,2018-9-22,8,4,21,HOME,0.700152924782952
South Carolina,1,2018-9-29,7,5,14,HOME,0.552574974401991
Vanderbilt,1,2018-10-20,6,6,7,HOME,0.536973229914925
Missouri,1,2018-10-27,8,4,1,AWAY,0.711730361401004
MTSU,1,2018-11-17,8,5,11,HOME,0.484435690225168
Louisville,1,2018-11-24,2,10,46,AWAY,0.229406836627335
Texas A&M,0,2018-10-6,8,4,6,AWAY,0.612204350528535
Georgia,0,2018-11-3,11,2,17,HOME,0.853521788113883
Tennessee,0,2018-11-10,5,7,17,AWAY,0.426213570238814
