opponent,result,date,win,loss,margin,location,opponent rating
Miami FL,1,2018-9-2,7,5,16,NEUTRAL,0.540586158977233
FCS,1,2018-9-8,8,106,31,HOME,0.000769998244192226
Auburn,1,2018-9-15,7,5,1,AWAY,0.597819822758721
Louisiana Tech,1,2018-9-22,7,5,17,HOME,0.441140405717563
Mississippi,1,2018-9-29,5,7,29,HOME,0.441826253707439
Georgia,1,2018-10-13,11,2,20,HOME,0.853521788113883
Mississippi St,1,2018-10-20,8,4,16,HOME,0.700152924782952
Arkansas,1,2018-11-10,2,10,7,AWAY,0.269664580760485
Rice,1,2018-11-17,2,11,32,HOME,0.087561129839736
Florida,0,2018-10-6,9,3,8,AWAY,0.651217922368491
Alabama,0,2018-11-3,13,0,29,HOME,1
Texas A&M,0,2018-11-24,8,4,2,AWAY,0.612204350528535
