opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,24,HOME,0.000769998244192226
FL Atlantic,1,2018-9-29,5,7,1,HOME,0.461693554039236
Marshall,1,2018-10-5,8,4,10,AWAY,0.531754889860287
Charlotte,1,2018-10-20,5,7,8,HOME,0.323727691666351
Old Dominion,1,2018-10-27,4,8,34,AWAY,0.249476996007373
WKU,1,2018-11-2,3,9,19,HOME,0.216702075652369
UTEP,1,2018-11-10,1,11,16,AWAY,0
UAB,1,2018-11-24,10,3,24,HOME,0.521923000912338
Vanderbilt,0,2018-9-1,6,6,28,AWAY,0.536973229914925
Georgia,0,2018-9-15,11,2,42,AWAY,0.853521788113883
Florida Intl,0,2018-10-13,8,4,3,AWAY,0.475982875318223
Kentucky,0,2018-11-17,9,3,11,AWAY,0.662329133530505
UAB,0,2018-12-1,10,3,2,HOME,0.521923000912338
