opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,77,HOME,0.000769998244192226
Toledo,1,2018-9-15,7,5,25,AWAY,0.486054902807487
Florida Intl,1,2018-9-22,8,4,14,HOME,0.475982875318223
North Carolina,1,2018-9-27,2,9,37,HOME,0.260469377823359
Florida St,1,2018-10-6,5,7,1,HOME,0.433535169304531
Virginia Tech,1,2018-11-17,6,6,24,AWAY,0.439317027736125
Pittsburgh,1,2018-11-24,7,6,21,HOME,0.539907904792352
LSU,0,2018-9-2,9,3,16,NEUTRAL,0.726814543315172
Virginia,0,2018-10-13,7,5,3,AWAY,0.523953179912563
Boston College,0,2018-10-26,7,5,13,AWAY,0.583380130118003
Duke,0,2018-11-3,7,5,8,HOME,0.5192774409515
Georgia Tech,0,2018-11-10,7,5,6,AWAY,0.524202622754867
