opponent,result,date,win,loss,margin,location,opponent rating
Bowling Green,1,2018-9-22,3,9,15,AWAY,0.140385424802793
Akron,1,2018-10-6,4,8,24,AWAY,0.227510841608756
Kent,1,2018-10-13,2,10,25,HOME,0.134175713618153
Ohio,1,2018-11-7,8,4,2,HOME,0.603861584109007
N Illinois,1,2018-11-14,8,5,6,AWAY,0.512425574248057
Ball St,1,2018-11-20,4,8,21,HOME,0.194642348013845
Marshall,0,2018-9-1,8,4,7,HOME,0.531754889860287
Cincinnati,0,2018-9-8,10,2,21,AWAY,0.662508498612961
Minnesota,0,2018-9-15,6,6,23,AWAY,0.458137990603829
W Michigan,0,2018-9-29,7,5,1,HOME,0.460361066971564
Army,0,2018-10-20,9,2,1,AWAY,0.592703055035996
Buffalo,0,2018-10-30,10,3,9,AWAY,0.548891754404769
