opponent,result,date,win,loss,margin,location,opponent rating
New Mexico St,1,2018-8-30,3,9,38,HOME,0.135628013475393
Fresno St,1,2018-9-8,11,2,7,HOME,0.703094438818044
Miami OH,1,2018-9-15,6,6,23,HOME,0.45837188133336
Indiana,1,2018-10-26,5,7,7,HOME,0.423952308627547
Purdue,1,2018-11-10,6,6,31,HOME,0.5428304930475
Wisconsin,1,2018-11-24,7,5,22,AWAY,0.528155201562796
Maryland,0,2018-9-22,5,7,29,AWAY,0.461267331603312
Iowa,0,2018-10-6,8,4,17,HOME,0.648865014312003
Ohio St,0,2018-10-13,12,1,16,AWAY,0.794079344659673
Nebraska,0,2018-10-20,4,8,25,AWAY,0.414758409178414
Illinois,0,2018-11-3,4,8,24,AWAY,0.251073638319793
Northwestern,0,2018-11-17,8,5,10,HOME,0.565096527710274
