opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,37,HOME,0.000769998244192226
Wyoming,1,2018-9-8,6,6,27,HOME,0.419358145826074
Purdue,1,2018-9-15,6,6,3,AWAY,0.5428304930475
Memphis,1,2018-10-20,8,5,32,HOME,0.555004023858093
Florida,1,2018-11-3,9,3,21,AWAY,0.651217922368491
Vanderbilt,1,2018-11-10,6,6,5,HOME,0.536973229914925
Tennessee,1,2018-11-17,5,7,33,AWAY,0.426213570238814
Arkansas,1,2018-11-23,2,10,38,HOME,0.269664580760485
Georgia,0,2018-9-22,11,2,14,HOME,0.853521788113883
South Carolina,0,2018-10-6,7,5,2,AWAY,0.552574974401991
Alabama,0,2018-10-13,13,0,29,AWAY,1
Kentucky,0,2018-10-27,9,3,1,HOME,0.662329133530505
