opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,11,HOME,0.000769998244192226
Georgia St,1,2018-9-8,2,10,34,HOME,0.192094577935086
Marshall,1,2018-9-22,8,4,17,AWAY,0.531754889860287
Virginia,1,2018-9-29,7,5,14,HOME,0.523953179912563
Boston College,1,2018-10-6,7,5,5,HOME,0.583380130118003
Florida St,1,2018-11-3,5,7,19,HOME,0.433535169304531
Louisville,1,2018-11-17,2,10,42,AWAY,0.229406836627335
North Carolina,1,2018-11-24,2,9,6,AWAY,0.260469377823359
East Carolina,1,2018-12-1,3,9,55,HOME,0.235473530796368
Clemson,0,2018-10-20,13,0,34,AWAY,0.961719907014965
Syracuse,0,2018-10-27,9,3,10,AWAY,0.659872406070867
Wake Forest,0,2018-11-8,6,6,4,HOME,0.473718361993184
