opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-8-31,8,106,53,HOME,0.000769998244192226
Oregon St,1,2018-9-15,2,10,2,HOME,0.173732331314971
Air Force,1,2018-9-29,5,7,3,AWAY,0.419626714314724
Hawaii,1,2018-10-20,8,5,18,AWAY,0.423791787116062
San Diego St,1,2018-10-27,7,5,4,HOME,0.479206894566261
Colorado St,1,2018-11-10,3,9,39,HOME,0.161064288308334
San Jose St,1,2018-11-17,1,11,9,AWAY,0.159323559459047
Vanderbilt,0,2018-9-8,6,6,31,AWAY,0.536973229914925
Toledo,0,2018-9-22,7,5,19,AWAY,0.486054902807487
Fresno St,0,2018-10-6,11,2,18,HOME,0.703094438818044
Boise St,0,2018-10-13,10,3,4,HOME,0.650992768654197
UNLV,0,2018-11-24,4,8,5,AWAY,0.242047874131288
