opponent,result,date,win,loss,margin,location,opponent rating
Pittsburgh,1,2018-9-22,7,6,3,HOME,0.539907904792352
FCS,1,2018-11-17,8,106,23,HOME,0.000769998244192226
California,0,2018-9-1,7,5,7,AWAY,0.419560912467013
East Carolina,0,2018-9-8,3,9,22,AWAY,0.235473530796368
Miami FL,0,2018-9-27,7,5,37,AWAY,0.540586158977233
Virginia Tech,0,2018-10-13,6,6,3,HOME,0.439317027736125
Syracuse,0,2018-10-20,9,3,3,AWAY,0.659872406070867
Virginia,0,2018-10-27,7,5,10,AWAY,0.523953179912563
Georgia Tech,0,2018-11-3,7,5,10,HOME,0.524202622754867
Duke,0,2018-11-10,7,5,7,AWAY,0.5192774409515
NC State,0,2018-11-24,9,3,6,HOME,0.658476757405083
