opponent,result,date,win,loss,margin,location,opponent rating
Oregon St,1,2018-9-1,2,10,46,HOME,0.173732331314971
Rutgers,1,2018-9-8,1,11,49,HOME,0.142195290938339
TCU,1,2018-9-15,6,6,12,AWAY,0.472750818076519
Tulane,1,2018-9-22,6,6,43,HOME,0.416988084377754
Penn St,1,2018-9-29,9,3,1,AWAY,0.697394135264368
Indiana,1,2018-10-6,5,7,23,HOME,0.423952308627547
Minnesota,1,2018-10-13,6,6,16,HOME,0.458137990603829
Nebraska,1,2018-11-3,4,8,5,HOME,0.414758409178414
Michigan St,1,2018-11-10,7,5,20,AWAY,0.544591531393688
Maryland,1,2018-11-17,5,7,1,AWAY,0.461267331603312
Michigan,1,2018-11-24,10,2,23,HOME,0.822928100511648
Northwestern,1,2018-12-1,8,5,21,NEUTRAL,0.565096527710274
Purdue,0,2018-10-20,6,6,29,AWAY,0.5428304930475
