opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,6,HOME,0.000769998244192226
Massachusetts,1,2018-9-29,4,8,16,HOME,0.249056873231254
Kent,1,2018-10-6,2,10,1,AWAY,0.134175713618153
Bowling Green,1,2018-10-20,3,9,35,HOME,0.140385424802793
Ball St,1,2018-10-25,4,8,38,HOME,0.194642348013845
W Michigan,1,2018-11-1,7,5,45,AWAY,0.460361066971564
Buffalo,1,2018-11-14,10,3,35,HOME,0.548891754404769
Akron,1,2018-11-23,4,8,21,HOME,0.227510841608756
Virginia,0,2018-9-15,7,5,14,NEUTRAL,0.523953179912563
Cincinnati,0,2018-9-22,10,2,4,AWAY,0.662508498612961
N Illinois,0,2018-10-13,8,5,3,AWAY,0.512425574248057
Miami OH,0,2018-11-7,6,6,2,AWAY,0.45837188133336
