opponent,result,date,win,loss,margin,location,opponent rating
FL Atlantic,1,2018-9-1,5,7,49,HOME,0.461693554039236
UCLA,1,2018-9-8,3,9,28,HOME,0.280733958670922
Iowa St,1,2018-9-15,8,4,10,AWAY,0.576450167683861
Army,1,2018-9-22,9,2,7,HOME,0.592703055035996
Baylor,1,2018-9-29,6,6,33,HOME,0.43300358027017
TCU,1,2018-10-20,6,6,25,AWAY,0.472750818076519
Kansas St,1,2018-10-27,5,7,37,HOME,0.472544202064512
Texas Tech,1,2018-11-3,5,7,5,AWAY,0.433867128284314
Oklahoma St,1,2018-11-10,6,6,1,HOME,0.509986694345833
Kansas,1,2018-11-17,3,9,15,HOME,0.221018492957153
West Virginia,1,2018-11-23,8,3,3,AWAY,0.68824171421713
Texas,1,2018-12-1,9,4,12,NEUTRAL,0.624442893770101
Texas,0,2018-10-6,9,4,3,NEUTRAL,0.624442893770101
