opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,26,HOME,0.000769998244192226
Georgia Tech,1,2018-9-15,7,5,5,HOME,0.524202622754867
Syracuse,1,2018-10-6,9,3,7,HOME,0.659872406070867
Duke,1,2018-10-27,7,5,9,HOME,0.5192774409515
Virginia,1,2018-11-2,7,5,10,AWAY,0.523953179912563
Virginia Tech,1,2018-11-10,6,6,30,HOME,0.439317027736125
Wake Forest,1,2018-11-17,6,6,21,AWAY,0.473718361993184
Penn St,0,2018-9-8,9,3,45,HOME,0.697394135264368
North Carolina,0,2018-9-22,2,9,3,AWAY,0.260469377823359
UCF,0,2018-9-29,12,0,31,AWAY,0.824142322793354
Notre Dame,0,2018-10-13,12,0,5,AWAY,0.874948495859429
Miami FL,0,2018-11-24,7,5,21,AWAY,0.540586158977233
Clemson,0,2018-12-1,13,0,32,NEUTRAL,0.961719907014965
