opponent,result,date,win,loss,margin,location,opponent rating
Boston College,1,2018-9-22,7,5,17,HOME,0.583380130118003
Nebraska,1,2018-9-29,4,8,14,AWAY,0.414758409178414
Illinois,1,2018-10-13,4,8,39,AWAY,0.251073638319793
Ohio St,1,2018-10-20,12,1,29,HOME,0.794079344659673
Iowa,1,2018-11-3,8,4,2,HOME,0.648865014312003
Indiana,1,2018-11-24,5,7,7,AWAY,0.423952308627547
Northwestern,0,2018-8-30,8,5,4,HOME,0.565096527710274
E Michigan,0,2018-9-8,7,5,1,HOME,0.451471882561525
Missouri,0,2018-9-15,8,4,3,HOME,0.711730361401004
Michigan St,0,2018-10-27,7,5,10,AWAY,0.544591531393688
Minnesota,0,2018-11-10,6,6,31,AWAY,0.458137990603829
Wisconsin,0,2018-11-17,7,5,3,HOME,0.528155201562796
