opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,20,HOME,0.000769998244192226
Georgia Tech,1,2018-9-8,7,5,11,HOME,0.524202622754867
Illinois,1,2018-9-15,4,8,6,AWAY,0.251073638319793
East Carolina,1,2018-9-22,3,9,7,HOME,0.235473530796368
Massachusetts,1,2018-10-6,4,8,16,AWAY,0.249056873231254
Tulsa,1,2018-10-12,3,9,1,AWAY,0.248278564102298
Connecticut,1,2018-10-20,1,11,8,HOME,0.0609382834729059
Houston,0,2018-10-27,8,4,21,AWAY,0.525693614507003
Tulane,0,2018-11-3,6,6,26,HOME,0.416988084377754
Cincinnati,0,2018-11-10,10,2,12,AWAY,0.662508498612961
Temple,0,2018-11-17,8,4,10,AWAY,0.574495390132135
UCF,0,2018-11-23,12,0,28,HOME,0.824142322793354
