opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,48,HOME,0.000769998244192226
Rice,1,2018-9-22,2,11,18,HOME,0.087561129839736
UT San Antonio,1,2018-10-20,3,9,10,HOME,0.157072136220403
Marshall,1,2018-11-3,8,4,2,HOME,0.531754889860287
Louisiana Tech,1,2018-11-17,7,5,1,HOME,0.441140405717563
UTEP,1,2018-11-24,1,11,32,AWAY,0
ULM,0,2018-9-8,6,6,1,HOME,0.344645210077282
Auburn,0,2018-9-29,7,5,11,AWAY,0.597819822758721
North Texas,0,2018-10-13,9,3,23,AWAY,0.566226921948455
Charlotte,0,2018-10-27,5,7,3,AWAY,0.323727691666351
UAB,0,2018-11-10,10,3,3,AWAY,0.521923000912338
