opponent,result,date,win,loss,margin,location,opponent rating
Tulsa,1,2018-9-8,3,9,7,HOME,0.248278564102298
USC,1,2018-9-15,5,7,23,HOME,0.440537069586333
TCU,1,2018-9-22,6,6,15,HOME,0.472750818076519
Kansas St,1,2018-9-29,5,7,5,AWAY,0.472544202064512
Oklahoma,1,2018-10-6,12,1,3,NEUTRAL,0.780914806571746
Baylor,1,2018-10-13,6,6,6,HOME,0.43300358027017
Texas Tech,1,2018-11-10,5,7,7,AWAY,0.433867128284314
Iowa St,1,2018-11-17,8,4,14,HOME,0.576450167683861
Kansas,1,2018-11-23,3,9,7,AWAY,0.221018492957153
Maryland,0,2018-9-1,5,7,5,AWAY,0.461267331603312
Oklahoma St,0,2018-10-27,6,6,3,AWAY,0.509986694345833
West Virginia,0,2018-11-3,8,3,1,HOME,0.68824171421713
Oklahoma,0,2018-12-1,12,1,12,NEUTRAL,0.780914806571746
