opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,25,HOME,0.000769998244192226
Memphis,1,2018-9-28,8,5,16,HOME,0.555004023858093
Tulsa,1,2018-10-27,3,9,7,AWAY,0.248278564102298
South Florida,1,2018-11-3,7,5,26,AWAY,0.43506939815558
East Carolina,1,2018-11-10,3,9,6,HOME,0.235473530796368
Navy,1,2018-11-24,3,9,1,HOME,0.324077406998877
Wake Forest,0,2018-8-30,6,6,6,HOME,0.473718361993184
UAB,0,2018-9-15,10,3,7,AWAY,0.521923000912338
Ohio St,0,2018-9-22,12,1,43,AWAY,0.794079344659673
Cincinnati,0,2018-10-6,10,2,16,AWAY,0.662508498612961
SMU,0,2018-10-20,5,7,4,HOME,0.344428491763609
Houston,0,2018-11-15,8,4,31,AWAY,0.525693614507003
