opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-8-30,8,106,3,HOME,0.000769998244192226
Southern Miss,1,2018-9-8,6,5,1,AWAY,0.347237402073064
Coastal Car,1,2018-10-13,5,7,25,AWAY,0.311564379778839
Texas St,1,2018-10-20,3,9,6,HOME,0.205154738347006
Ga Southern,1,2018-11-3,9,3,19,HOME,0.580629140209413
South Alabama,1,2018-11-10,3,9,28,AWAY,0.198141556916694
Texas A&M,0,2018-9-15,8,4,38,AWAY,0.612204350528535
Troy,0,2018-9-22,9,3,8,HOME,0.559089094366952
Georgia St,0,2018-9-29,2,10,32,AWAY,0.192094577935086
Mississippi,0,2018-10-6,5,7,49,AWAY,0.441826253707439
Arkansas St,0,2018-11-17,8,4,14,AWAY,0.542798882966119
FCS,0,2018-11-24,8,106,3,HOME,0.000769998244192226
