opponent,result,date,win,loss,margin,location,opponent rating
UNLV,1,2018-9-1,4,8,22,HOME,0.242047874131288
Washington St,1,2018-9-21,10,2,3,HOME,0.674582596015174
Arizona,1,2018-9-29,5,7,4,AWAY,0.42753875764292
Colorado,1,2018-10-13,5,7,11,HOME,0.347842752816767
Oregon St,1,2018-11-3,2,10,17,AWAY,0.173732331314971
Stanford,0,2018-9-8,8,4,14,AWAY,0.61294634639621
Texas,0,2018-9-15,9,4,23,AWAY,0.624442893770101
Utah,0,2018-10-20,9,4,13,AWAY,0.642840902543242
Arizona St,0,2018-10-27,7,5,3,HOME,0.545411390581512
California,0,2018-11-10,7,5,1,HOME,0.419560912467013
UCLA,0,2018-11-17,3,9,7,AWAY,0.280733958670922
Notre Dame,0,2018-11-24,12,0,7,HOME,0.874948495859429
